id,occupation_title,state,district,gender,income,year,nco_code
93,Recruiting Manager,Kerala,Nalgonda,Male,52,46,4485
60,Database Administrator I,Tamil Nadu,Dharmapuri,Genderfluid,17,9,3018
63,Account Representative I,Tamil Nadu,and Yadadri Bhuvanagiri.  Thiruvananthapuram,Polygender,24,96,6449
16,VP Sales,Kerala,Malappuram,Female,45,24,2897
6,Editor,Kerala,Nirmal,Female,42,76,4362
47,Research Nurse,Tamil Nadu,Rajanna Sircilla,Male,54,86,2741
45,Structural Engineer,and Telangana.,Cuddalore,Male,17,71,6109
9,Business Systems Development Analyst,Kerala,Hyderabad,Female,71,91,7009
50,Database Administrator IV,Tamil Nadu,Warangal (Urban),Male,59,21,2641
52,Marketing Assistant,Kerala,Ranipet,Female,92,15,5479
78,Desktop Support Technician,Kerala,Svikarabad,Male,75,25,4112
22,Administrative Assistant I,Kerala,Ramanathapuram,Female,69,31,8645
92,Health Coach III,Andhra Pradesh,Komaram Bheem Asifabad,Male,74,82,7680
81,Assistant Professor,Tamil Nadu,Vellore,Male,49,93,3833
29,Cost Accountant,and Telangana.,Hyderabad,Male,27,86,1352
31,Internal Auditor,Karnataka,Ramanathapuram,Male,74,54,6218
79,Tax Accountant,Andhra Pradesh,Tiruvarur,Female,79,32,7096
4,Geologist I,Andhra Pradesh,Ranipet,Female,81,72,4105
13,Internal Auditor,and Telangana.,Svikarabad,Female,14,51,6218
95,Tax Accountant,Kerala,Ramanathapuram,Female,16,99,7096
8,Safety Technician II,Tamil Nadu,Theni,Non-binary,34,88,2720
60,Marketing Assistant,Andhra Pradesh,Tiruvannamalai,Female,59,70,5479
11,Software Engineer III,Karnataka,Malappuram,Female,70,89,7196
37,Research Assistant II,Tamil Nadu,Bagalkot Ballari (Bellary) Belagavi (Belgaum) Bengaluru Rural Bengaluru Urban Bidar Chamarajanagar Chikballapur Chikkamagaluru Chitradurga Dakshina Kannada Davanagere Dharwad Gadag Hassan Haveri Kalaburagi (Gulbarga) Kodagu Kolar Koppal Mandya Mysuru (Mysore) Raichur Ramanagara Shivamogga (Shimoga) Tumakuru (Tumkur) Udupi Uttara Kannada Vijayapura (Bijapur) Yadgir Vijayanagara Alluri Sitharama Raju Anakapalli Anantapur Annamayya Bapatla Chittoor Dr. B.R. Ambedkar Konaseema East Godavari Eluru Guntur Kakinada Krishna Kurnool Manyam Nandyal Nتر (NTR) Palnadu Parvathipuram Manyam Prakasam Partapgarh Srikakulam Sri Sathya Sai Tirupati Visakhapatnam Vizianagaram West Godavari  Adilabad,Female,47,70,3984
32,Financial Analyst,Kerala,Villupuram,Female,30,65,8881
46,Administrative Officer,Kerala,Komaram Bheem Asifabad,Female,59,58,7847
10,Librarian,Kerala,Nagarkurnool,Male,96,45,6075
95,Marketing Manager,Andhra Pradesh,Tirupattur,Male,38,30,2896
95,Administrative Officer,and Telangana.,Kozhikode,Male,58,39,7847
13,Electrical Engineer,Karnataka,Tiruvallur,Female,4,79,4377
18,Design Engineer,Tamil Nadu,Chengalpattu,Female,18,98,9203
2,Developer IV,Karnataka,Hyderabad,Female,94,87,1777
100,Design Engineer,Andhra Pradesh,Karur,Male,43,59,9203
56,Junior Executive,Andhra Pradesh,Bagalkot Ballari (Bellary) Belagavi (Belgaum) Bengaluru Rural Bengaluru Urban Bidar Chamarajanagar Chikballapur Chikkamagaluru Chitradurga Dakshina Kannada Davanagere Dharwad Gadag Hassan Haveri Kalaburagi (Gulbarga) Kodagu Kolar Koppal Mandya Mysuru (Mysore) Raichur Ramanagara Shivamogga (Shimoga) Tumakuru (Tumkur) Udupi Uttara Kannada Vijayapura (Bijapur) Yadgir Vijayanagara Alluri Sitharama Raju Anakapalli Anantapur Annamayya Bapatla Chittoor Dr. B.R. Ambedkar Konaseema East Godavari Eluru Guntur Kakinada Krishna Kurnool Manyam Nandyal Nتر (NTR) Palnadu Parvathipuram Manyam Prakasam Partapgarh Srikakulam Sri Sathya Sai Tirupati Visakhapatnam Vizianagaram West Godavari  Adilabad,Male,31,59,5032
99,Financial Analyst,Tamil Nadu,Bagalkot Ballari (Bellary) Belagavi (Belgaum) Bengaluru Rural Bengaluru Urban Bidar Chamarajanagar Chikballapur Chikkamagaluru Chitradurga Dakshina Kannada Davanagere Dharwad Gadag Hassan Haveri Kalaburagi (Gulbarga) Kodagu Kolar Koppal Mandya Mysuru (Mysore) Raichur Ramanagara Shivamogga (Shimoga) Tumakuru (Tumkur) Udupi Uttara Kannada Vijayapura (Bijapur) Yadgir Vijayanagara Alluri Sitharama Raju Anakapalli Anantapur Annamayya Bapatla Chittoor Dr. B.R. Ambedkar Konaseema East Godavari Eluru Guntur Kakinada Krishna Kurnool Manyam Nandyal Nتر (NTR) Palnadu Parvathipuram Manyam Prakasam Partapgarh Srikakulam Sri Sathya Sai Tirupati Visakhapatnam Vizianagaram West Godavari  Adilabad,Female,19,43,8881
98,Statistician I,Andhra Pradesh,Palakkad,Female,71,42,4331
76,Community Outreach Specialist,Karnataka,Tiruvannamalai,Male,58,50,5995
100,General Manager,Tamil Nadu,Pudukkottai,Genderqueer,97,23,6133
26,Systems Administrator III,Karnataka,Medak,Female,43,80,6401
34,General Manager,Karnataka,Tiruvannamalai,Female,74,9,6133
97,Assistant Manager,Andhra Pradesh,Ranipet,Male,88,19,5283
61,Account Coordinator,and Telangana.,Karimnagar,Male,32,18,5886
37,Geologist III,Karnataka,Mancherial,Male,79,74,7647
29,Statistician IV,Andhra Pradesh,Medchal-Malkajgiri,Female,47,86,9671
58,Account Coordinator,Karnataka,Kollam,Female,100,93,5886
92,Project Manager,Kerala,Komaram Bheem Asifabad,Male,57,27,7291
12,Account Executive,and Telangana.,Karur,Female,15,99,3065
31,Information Systems Manager,Andhra Pradesh,Jogulamba Gadwal,Female,43,5,2475
18,Database Administrator III,Andhra Pradesh,Theni,Male,20,65,7680
91,Quality Engineer,Karnataka,Villupuram,Male,54,43,1791
56,Data Coordinator,Kerala,Thanjavur,Female,93,76,9941
84,Software Consultant,Karnataka,Narayanpet,Female,95,87,2780
74,VP Marketing,Karnataka,Idukki,Female,94,24,9438
64,Food Chemist,and Telangana.,Thrissur,Female,33,9,1411
63,Mechanical Systems Engineer,Karnataka,Dindigul,Agender,59,80,2296
68,Media Manager I,Tamil Nadu,Vellore,Female,73,15,7646
2,Senior Financial Analyst,and Telangana.,Svikarabad,Male,69,59,3469
62,Nurse Practicioner,and Telangana.,Alappuzha,Female,2,26,8189
82,Programmer II,Kerala,Karimnagar,Polygender,30,86,2358
65,Marketing Manager,and Telangana.,Kottayam,Female,54,8,2896
5,Editor,Karnataka,Chengalpattu,Male,47,34,4362
91,Staff Accountant I,Andhra Pradesh,Tiruvarur,Female,15,26,3489
6,Nuclear Power Engineer,Kerala,Kannur,Male,20,13,8220
53,General Manager,Andhra Pradesh,Ernakulam,Agender,3,87,6133
53,Junior Executive,Tamil Nadu,Tiruchirappalli,Male,86,41,5032
83,Software Test Engineer IV,Kerala,Tuticorin,Male,17,98,9337
6,Senior Developer,Kerala,Alappuzha,Female,24,90,8825
57,Business Systems Development Analyst,Karnataka,Narayanpet,Male,13,44,7009
96,Project Manager,Tamil Nadu,Tirunelveli,Female,97,66,7291
77,Electrical Engineer,and Telangana.,Sivaganga,Male,71,75,4377
12,Office Assistant IV,Andhra Pradesh,Coimbatore,Male,82,47,4328
94,Business Systems Development Analyst,Tamil Nadu,Chengalpattu,Genderqueer,4,30,7009
30,Director of Sales,Karnataka,Villupuram,Female,62,42,8503
50,Associate Professor,Andhra Pradesh,Tiruvallur,Male,55,43,8638
45,Junior Executive,Karnataka,Nirmal,Male,8,99,5032
26,Geological Engineer,Karnataka,Wanaparthy,Female,92,9,7455
95,Senior Cost Accountant,Andhra Pradesh,Kollam,Male,41,54,3554
50,General Manager,Tamil Nadu,Madurai,Female,37,13,6133
90,Nurse Practicioner,Kerala,Tenkasi,Female,68,44,8189
95,Office Assistant IV,Tamil Nadu,Jagtial,Non-binary,70,84,4328
90,Statistician III,Kerala,Dindigul,Female,25,19,1786
66,Operator,and Telangana.,and Yadadri Bhuvanagiri.  Thiruvananthapuram,Male,61,69,3866
76,VP Quality Control,Kerala,Thanjavur,Female,7,29,4629
73,Structural Engineer,Karnataka,Madurai,Female,62,82,6109
22,Social Worker,and Telangana.,Tiruvallur,Male,38,66,2700
35,Senior Developer,Tamil Nadu,and Kasaragod.  Ariyalur,Male,14,95,8825
35,Recruiting Manager,and Telangana.,Kamareddy,Female,46,80,4485
67,Associate Professor,Andhra Pradesh,Kanyakumari,Male,57,54,8638
22,Nurse Practicioner,Tamil Nadu,Jogulamba Gadwal,Female,35,47,8189
5,Desktop Support Technician,Karnataka,Tenkasi,Genderfluid,67,39,4112
23,Administrative Officer,Karnataka,Kanyakumari,Male,69,27,7847
39,Dental Hygienist,and Telangana.,Theni,Male,44,48,2582
80,Speech Pathologist,and Telangana.,Tiruvallur,Female,95,37,7081
58,Food Chemist,Karnataka,Suryapet,Male,77,61,1411
58,Speech Pathologist,Tamil Nadu,Ranga Reddy,Female,21,72,7081
52,Product Engineer,Karnataka,and Yadadri Bhuvanagiri.  Thiruvananthapuram,Male,35,38,5738
73,Environmental Specialist,Kerala,Alappuzha,Male,92,31,4002
78,Software Engineer II,Karnataka,Nagarkurnool,Female,93,13,7196
58,Structural Engineer,Karnataka,Wanaparthy,Female,66,55,6109
56,Structural Analysis Engineer,Karnataka,Medchal-Malkajgiri,Agender,73,94,8346
87,VP Product Management,Tamil Nadu,Kallakurichi,Male,28,62,6149
11,Programmer Analyst IV,and Telangana.,Tirunelveli,Female,68,53,1966
57,General Manager,Tamil Nadu,Suryapet,Female,53,38,6133
62,Nurse Practicioner,Tamil Nadu,Thanjavur,Female,44,87,8189
75,Automation Specialist IV,Tamil Nadu,Rajanna Sircilla,Male,11,71,3552
33,Research Nurse,and Telangana.,Tuticorin,Male,79,58,2741
61,Recruiting Manager,and Telangana.,Ernakulam,Female,65,78,4485
29,Paralegal,Kerala,Kancheepuram,Male,10,32,5098
65,Help Desk Operator,Andhra Pradesh,Vellore,Female,35,24,8772
78,Legal Assistant,and Telangana.,Pudukkottai,Female,31,30,9066
92,Sales Associate,and Telangana.,Bhadradri Kothagudem,Male,9,50,9588
75,Financial Analyst,Tamil Nadu,Jayashankar Bhupalpally,Female,88,69,8881
3,Administrative Assistant I,and Telangana.,Narayanpet,Female,96,32,8645
79,Community Outreach Specialist,Karnataka,Karur,Female,84,50,5995
41,Community Outreach Specialist,and Telangana.,Chennai,Male,66,17,5995
27,Developer III,and Telangana.,Pudukkottai,Male,63,93,3632
9,Quality Engineer,and Telangana.,Kannur,Male,88,87,1791
91,Structural Engineer,and Telangana.,Sangareddy,Male,53,23,6109
5,Data Coordinator,and Telangana.,Villupuram,Male,24,72,9941
31,Marketing Assistant,Tamil Nadu,Tiruvallur,Genderqueer,69,32,5479
1,Health Coach III,Kerala,Idukki,Female,27,98,7680
12,Sales Representative,Andhra Pradesh,Namakkal,Male,64,2,7737
30,Software Engineer III,Tamil Nadu,Siddipet,Male,79,25,7196
95,VP Accounting,and Telangana.,Palakkad,Female,90,100,7184
72,Recruiter,Andhra Pradesh,Peddapalli,Male,56,85,2946
8,Computer Systems Analyst III,Kerala,Thrissur,Non-binary,22,32,7470
5,Senior Editor,Karnataka,Tiruppur,Female,36,56,1138
80,Safety Technician IV,Karnataka,Jangaon,Female,44,88,2720
7,Marketing Assistant,Karnataka,Jangaon,Genderfluid,51,26,5479
88,Occupational Therapist,and Telangana.,Sivaganga,Female,81,33,7345
89,Structural Engineer,Tamil Nadu,Krishnagiri,Female,85,44,6109
78,Dental Hygienist,Karnataka,Ranga Reddy,Female,40,99,2582
95,Developer I,and Telangana.,Theni,Female,52,94,9983
70,Professor,and Telangana.,Chennai,Male,40,3,5825
72,Editor,Andhra Pradesh,Thrissur,Male,70,25,4362
25,Assistant Media Planner,Tamil Nadu,Cuddalore,Agender,57,5,9359
38,Structural Engineer,Andhra Pradesh,Madurai,Male,79,47,6109
89,Research Nurse,Kerala,Alappuzha,Female,23,12,2741
21,Technical Writer,Tamil Nadu,Mancherial,Genderqueer,85,54,7137
2,Librarian,and Telangana.,Komaram Bheem Asifabad,Female,65,3,6075
52,Professor,Kerala,Tuticorin,Female,52,15,5825
62,Accountant III,Andhra Pradesh,Pudukkottai,Male,40,17,9474
4,Financial Advisor,and Telangana.,Chennai,Female,49,8,1893
10,Food Chemist,Tamil Nadu,Idukki,Male,25,64,1411
31,Marketing Assistant,Tamil Nadu,Ernakulam,Bigender,73,37,5479
12,Electrical Engineer,Karnataka,Jayashankar Bhupalpally,Male,70,54,4377
9,Professor,Karnataka,Tirunelveli,Male,92,3,5825
49,Geologist III,Kerala,Namakkal,Female,5,76,7647
91,Research Associate,Andhra Pradesh,Jagtial,Female,70,33,3004
45,Speech Pathologist,Karnataka,Pudukkottai,Female,80,87,7081
90,Structural Engineer,Andhra Pradesh,Dharmapuri,Male,28,44,6109
17,Electrical Engineer,and Telangana.,and Kasaragod.  Ariyalur,Polygender,14,12,4377
100,Administrative Assistant III,Karnataka,Ramanathapuram,Female,60,30,6146
72,Staff Scientist,Karnataka,Kottayam,Male,46,52,5006
9,Analyst Programmer,and Telangana.,Karimnagar,Polygender,49,7,3355
68,Account Coordinator,Kerala,Thrissur,Female,14,92,5886
64,Developer II,Andhra Pradesh,Kottayam,Male,47,45,3632
86,Recruiter,and Telangana.,Tenkasi,Bigender,93,65,2946
91,Database Administrator II,Tamil Nadu,Kanyakumari,Female,40,67,4331
14,Account Executive,Andhra Pradesh,Komaram Bheem Asifabad,Male,4,74,3065
8,Safety Technician III,Andhra Pradesh,and Virudhunagar.,Female,52,99,2720
10,Recruiter,Karnataka,Khammam,Male,60,70,2946
89,Cost Accountant,Kerala,Mancherial,Female,3,59,1352
4,Editor,Tamil Nadu,Bagalkot Ballari (Bellary) Belagavi (Belgaum) Bengaluru Rural Bengaluru Urban Bidar Chamarajanagar Chikballapur Chikkamagaluru Chitradurga Dakshina Kannada Davanagere Dharwad Gadag Hassan Haveri Kalaburagi (Gulbarga) Kodagu Kolar Koppal Mandya Mysuru (Mysore) Raichur Ramanagara Shivamogga (Shimoga) Tumakuru (Tumkur) Udupi Uttara Kannada Vijayapura (Bijapur) Yadgir Vijayanagara Alluri Sitharama Raju Anakapalli Anantapur Annamayya Bapatla Chittoor Dr. B.R. Ambedkar Konaseema East Godavari Eluru Guntur Kakinada Krishna Kurnool Manyam Nandyal Nتر (NTR) Palnadu Parvathipuram Manyam Prakasam Partapgarh Srikakulam Sri Sathya Sai Tirupati Visakhapatnam Vizianagaram West Godavari  Adilabad,Male,89,36,4362
85,Financial Analyst,and Telangana.,Madurai,Male,96,70,8881
31,Compensation Analyst,Tamil Nadu,Kozhikode,Male,10,3,4762
17,Internal Auditor,Kerala,Suryapet,Male,10,100,6218
35,VP Quality Control,Karnataka,Medchal-Malkajgiri,Male,67,44,4629
25,Senior Editor,Andhra Pradesh,Kottayam,Male,14,4,1138
82,Recruiter,Karnataka,Nilgiris,Female,77,96,2946
42,Teacher,Andhra Pradesh,Chengalpattu,Male,49,89,8252
77,Data Coordinator,Karnataka,Wanaparthy,Male,88,44,9941
8,Community Outreach Specialist,and Telangana.,Krishnagiri,Male,72,15,5995
